order_id,zone,vehicle_type,distance_km,delivery_time_min,rain_flag,claim_filed
ORD-20260040,Centro,Moto,3.8,24,0,0
ORD-20260041,Centro,Moto,5.0,52,1,1
ORD-20260042,Centro,Bici,1.6,20,0,0
ORD-20260043,Centro,Bici,2.7,29,0,0
ORD-20260044,Sur,Moto,1.9,13,0,0
ORD-20260045,Centro,Bici,2.9,31,0,0
ORD-20260046,Norte,Moto,4.2,27,0,0
ORD-20260047,Centro,Moto,4.0,27,0,0
ORD-20260048,Norte,Moto,3.8,22,0,0
ORD-20260049,Norte,Moto,2.5,18,0,0
ORD-20260050,Centro,Bici,2.1,19,0,0
ORD-20260051,Sur,Moto,2.0,10,0,0
ORD-20260052,Norte,Moto,6.1,41,0,1
ORD-20260053,Sur,Moto,1.9,11,0,0
ORD-20260054,Sur,Moto,5.0,30,0,0
ORD-20260055,Norte,Moto,1.9,15,0,0
ORD-20260056,Sur,Moto,4.5,29,0,0
ORD-20260057,Centro,Moto,3.8,23,0,0
ORD-20260058,Centro,Bici,2.8,39,1,1
ORD-20260059,Centro,Bici,1.8,21,0,0
ORD-20260060,Centro,Moto,2.5,19,0,0
ORD-20260061,Centro,Bici,2.5,32,0,0
ORD-20260062,Centro,Bici,2.9,29,0,0
ORD-20260063,Sur,Moto,2.9,30,1,0
ORD-20260064,Centro,Moto,3.0,17,0,0
ORD-20260065,Centro,Bici,0.5,10,0,0
ORD-20260066,Norte,Moto,4.1,28,0,0
ORD-20260067,Centro,Moto,2.1,15,0,0
ORD-20260068,Sur,Moto,5.9,37,0,1
ORD-20260069,Centro,Bici,2.5,24,0,0
ORD-20260070,Sur,Moto,2.9,21,0,0
ORD-20260071,Norte,Moto,3.5,26,0,0
ORD-20260072,Centro,Bici,2.7,30,0,0
ORD-20260073,Centro,Moto,2.4,17,0,0
ORD-20260074,Sur,Moto,4.1,22,0,0
ORD-20260075,Norte,Moto,4.3,24,0,0
ORD-20260076,Norte,Moto,6.0,49,1,0
ORD-20260077,Norte,Moto,4.2,36,0,0
ORD-20260078,Centro,Bici,2.4,32,1,1
ORD-20260079,Centro,Moto,4.2,28,0,0
ORD-20260080,Centro,Bici,1.4,15,0,0
ORD-20260081,Sur,Moto,2.2,14,0,0
ORD-20260082,Norte,Moto,6.2,32,0,0
ORD-20260083,Centro,Moto,2.0,17,1,0
ORD-20260084,Centro,Bici,2.2,39,1,1
ORD-20260085,Centro,Bici,1.9,13,0,0
ORD-20260086,Centro,Bici,2.3,22,0,0
ORD-20260087,Norte,Moto,7.4,35,0,0
ORD-20260088,Norte,Moto,6.2,40,1,1
ORD-20260089,Sur,Moto,6.3,44,0,1
ORD-20260090,Centro,Bici,1.4,17,0,0
ORD-20260091,Centro,Bici,1.6,15,0,0
ORD-20260092,Norte,Bici,0.7,10,0,0
ORD-20260093,Norte,Moto,3.8,21,0,0
ORD-20260094,Norte,Moto,6.4,37,0,0
ORD-20260095,Norte,Moto,5.8,45,1,1
ORD-20260096,Centro,Bici,2.3,30,0,0
ORD-20260097,Norte,Moto,5.0,21,0,0
ORD-20260098,Centro,Bici,1.9,20,0,0
ORD-20260099,Centro,Bici,2.7,25,0,0
ORD-20260100,Centro,Moto,3.1,23,0,0
ORD-20260101,Centro,Moto,1.2,12,0,0
ORD-20260102,Norte,Moto,5.4,35,0,0
ORD-20260103,Centro,Moto,3.2,22,0,0
ORD-20260104,Norte,Moto,4.4,23,0,0
ORD-20260105,Sur,Moto,6.1,42,0,1
ORD-20260106,Centro,Moto,4.8,32,0,0
ORD-20260107,Centro,Bici,2.4,28,0,0
ORD-20260108,Norte,Moto,5.6,39,0,1
ORD-20260109,Centro,Bici,1.9,21,0,0
ORD-20260110,Centro,Bici,2.6,32,0,1
ORD-20260111,Centro,Moto,2.9,21,0,0
ORD-20260112,Centro,Bici,2.7,26,0,0
ORD-20260113,Sur,Moto,3.5,22,0,0
ORD-20260114,Sur,Moto,5.3,31,0,0
ORD-20260115,Norte,Moto,7.2,38,0,1
ORD-20260116,Sur,Moto,5.7,42,0,1
ORD-20260117,Sur,Moto,6.4,39,0,0
ORD-20260118,Centro,Moto,2.3,17,0,0
ORD-20260119,Sur,Moto,6.1,38,0,1
ORD-20260120,Norte,Moto,5.4,46,0,0
ORD-20260121,Sur,Moto,3.6,19,0,0
ORD-20260122,Sur,Moto,5.5,28,0,0
ORD-20260123,Centro,Bici,1.7,15,0,0
ORD-20260124,Centro,Moto,2.0,24,1,0
ORD-20260125,Centro,Moto,2.7,19,0,0
ORD-20260126,Centro,Bici,2.7,34,1,1
ORD-20260127,Sur,Bici,3.2,37,1,0
ORD-20260128,Sur,Moto,6.6,39,0,0
ORD-20260129,Centro,Moto,3.0,18,0,0
ORD-20260130,Norte,Moto,3.9,26,0,0
ORD-20260131,Centro,Bici,1.3,18,0,0
ORD-20260132,Centro,Bici,2.4,27,0,0
ORD-20260133,Centro,Moto,2.1,18,0,0
ORD-20260134,Centro,Bici,2.6,42,1,1
ORD-20260135,Sur,Moto,4.5,29,0,0
ORD-20260136,Centro,Bici,0.9,12,0,0
ORD-20260137,Norte,Moto,4.4,24,0,0
ORD-20260138,Norte,Moto,4.5,26,0,0
ORD-20260139,Centro,Moto,3.0,18,0,0
ORD-20260140,Sur,Bici,4.0,41,0,0
ORD-20260141,Sur,Moto,7.5,45,0,0
ORD-20260142,Centro,Bici,1.0,14,0,0
ORD-20260143,Centro,Moto,3.5,19,0,0
ORD-20260144,Centro,Bici,2.3,28,0,0
ORD-20260145,Centro,Moto,3.2,20,0,0
ORD-20260146,Centro,Bici,2.6,22,0,0
ORD-20260147,Norte,Moto,6.7,36,0,0
ORD-20260148,Norte,Moto,4.4,37,0,1
ORD-20260149,Centro,Bici,1.6,17,0,0
ORD-20260150,Centro,Moto,3.6,22,0,0
ORD-20260151,Sur,Moto,4.8,28,0,0
ORD-20260152,Centro,Bici,2.7,26,0,0
ORD-20260153,Centro,Moto,3.5,20,0,0
ORD-20260154,Centro,Bici,1.7,19,0,0
ORD-20260155,Sur,Moto,5.9,40,0,0
ORD-20260156,Centro,Bici,2.0,22,0,0
ORD-20260157,Norte,Moto,4.8,24,0,0
ORD-20260158,Norte,Moto,5.1,29,0,0
ORD-20260159,Centro,Bici,1.3,14,0,0
ORD-20260160,Norte,Moto,3.8,24,0,0
ORD-20260161,Centro,Moto,3.6,28,0,0
ORD-20260162,Norte,Moto,6.3,36,0,0
ORD-20260163,Norte,Moto,4.9,29,0,0
ORD-20260164,Norte,Moto,5.4,41,0,0
ORD-20260165,Centro,Bici,2.3,38,1,1
ORD-20260166,Sur,Moto,7.0,43,0,1
ORD-20260167,Centro,Moto,2.3,34,1,0
ORD-20260168,Centro,Bici,2.7,29,0,0
ORD-20260169,Centro,Moto,3.4,15,0,0
ORD-20260170,Norte,Moto,3.8,27,0,0
ORD-20260171,Norte,Moto,7.3,32,0,1
ORD-20260172,Centro,Moto,1.3,12,0,0
ORD-20260173,Norte,Moto,7.4,31,0,1
ORD-20260174,Centro,Bici,2.2,21,0,0
ORD-20260175,Norte,Bici,4.6,40,0,1
ORD-20260176,Centro,Bici,1.0,11,0,0
ORD-20260177,Norte,Moto,4.3,25,0,0
ORD-20260178,Centro,Moto,1.7,27,1,0
ORD-20260179,Sur,Moto,4.1,23,0,0
ORD-20260180,Centro,Moto,2.4,18,0,0
ORD-20260181,Centro,Moto,3.3,18,0,0
ORD-20260182,Centro,Bici,2.7,26,0,0
ORD-20260183,Sur,Moto,5.5,34,0,0
ORD-20260184,Sur,Moto,3.4,19,0,0
ORD-20260185,Centro,Moto,1.8,11,0,0
ORD-20260186,Norte,Moto,7.7,47,0,0
ORD-20260187,Sur,Moto,3.9,29,0,0
ORD-20260188,Norte,Moto,7.5,42,0,1
ORD-20260189,Norte,Bici,4.6,48,1,1
ORD-20260190,Centro,Bici,2.5,26,0,0
ORD-20260191,Centro,Moto,3.4,22,0,0
ORD-20260192,Sur,Moto,6.9,41,0,1
ORD-20260193,Sur,Moto,4.8,24,1,0
ORD-20260194,Norte,Moto,4.4,23,0,0
ORD-20260195,Centro,Bici,2.5,22,0,0
ORD-20260196,Centro,Bici,2.8,38,1,1
ORD-20260197,Norte,Moto,6.3,38,0,1
ORD-20260198,Sur,Moto,5.0,33,0,0
ORD-20260199,Sur,Moto,5.9,36,0,1
ORD-20260200,Norte,Bici,7.5,52,0,1
ORD-20260201,Norte,Moto,5.6,40,0,1
ORD-20260202,Centro,Bici,2.7,32,0,0
ORD-20260203,Centro,Bici,1.3,12,0,0
ORD-20260204,Sur,Moto,1.1,11,0,0
ORD-20260205,Norte,Moto,5.6,30,0,1
ORD-20260206,Centro,Moto,2.4,17,0,0
ORD-20260207,Centro,Bici,2.1,25,0,0
ORD-20260208,Norte,Moto,5.4,55,1,1
ORD-20260209,Centro,Moto,2.5,19,0,0
ORD-20260210,Centro,Bici,3.4,34,0,1
ORD-20260211,Norte,Moto,5.1,29,0,0
ORD-20260212,Norte,Moto,3.9,25,0,0
ORD-20260213,Norte,Moto,6.5,45,0,1
ORD-20260214,Centro,Moto,2.3,16,0,0
ORD-20260215,Norte,Moto,5.8,29,0,0
ORD-20260216,Centro,Bici,2.1,17,0,0
ORD-20260217,Centro,Bici,2.0,23,0,0
ORD-20260218,Norte,Moto,5.1,32,0,1
ORD-20260219,Norte,Moto,5.0,27,0,0
ORD-20260220,Sur,Moto,5.7,39,0,0
ORD-20260221,Norte,Moto,4.6,26,0,0
ORD-20260222,Norte,Moto,2.2,16,0,0
ORD-20260223,Centro,Bici,2.2,23,0,0
ORD-20260224,Centro,Moto,3.1,19,0,0
ORD-20260225,Centro,Bici,2.3,35,1,1
ORD-20260226,Centro,Moto,2.3,19,0,0
ORD-20260227,Sur,Moto,6.5,31,0,1
ORD-20260228,Centro,Moto,1.9,16,0,0
ORD-20260229,Sur,Moto,2.7,19,0,0
ORD-20260230,Norte,Moto,4.8,30,0,0
ORD-20260231,Norte,Moto,4.3,30,0,0
ORD-20260232,Norte,Moto,3.6,33,1,0
ORD-20260233,Norte,Moto,4.7,41,1,1
ORD-20260234,Centro,Bici,2.9,31,0,1
ORD-20260235,Centro,Moto,2.5,16,0,0
ORD-20260236,Norte,Moto,5.5,34,0,1
ORD-20260237,Centro,Moto,4.0,24,0,0
ORD-20260238,Centro,Moto,2.2,16,0,1
ORD-20260239,Norte,Moto,5.4,30,0,0
ORD-20260240,Centro,Bici,2.1,23,0,0
ORD-20260241,Sur,Moto,3.7,24,0,0
ORD-20260242,Sur,Moto,4.1,27,0,0
ORD-20260243,Sur,Moto,4.3,36,1,0
ORD-20260244,Centro,Bici,2.8,28,1,0
ORD-20260245,Centro,Bici,4.4,40,0,1
ORD-20260246,Sur,Moto,3.9,25,0,0
ORD-20260247,Centro,Bici,2.2,34,1,0
ORD-20260248,Sur,Moto,4.9,27,0,0
ORD-20260249,Sur,Moto,5.6,27,0,0
ORD-20260250,Sur,Moto,5.4,35,0,0
ORD-20260251,Centro,Bici,3.5,41,1,0
ORD-20260252,Centro,Bici,0.6,10,0,0
ORD-20260253,Sur,Moto,1.4,11,0,0
ORD-20260254,Centro,Bici,2.1,32,1,1
ORD-20260255,Centro,Moto,3.4,21,0,0
ORD-20260256,Norte,Moto,2.7,24,1,0
ORD-20260257,Sur,Moto,0.5,10,0,0
ORD-20260258,Norte,Moto,5.9,31,0,1
ORD-20260259,Norte,Moto,5.4,33,0,1
ORD-20260260,Centro,Bici,1.6,19,0,0
ORD-20260261,Norte,Moto,3.5,21,0,0
ORD-20260262,Sur,Moto,3.5,18,0,0
ORD-20260263,Centro,Bici,2.6,35,0,1
ORD-20260264,Norte,Moto,4.1,23,0,0
ORD-20260265,Sur,Moto,5.7,37,0,0
ORD-20260266,Norte,Bici,0.7,14,0,0
ORD-20260267,Norte,Moto,3.7,26,0,0
ORD-20260268,Norte,Moto,3.3,21,0,0
ORD-20260269,Centro,Bici,2.3,23,0,0
ORD-20260270,Centro,Moto,2.1,14,0,0
ORD-20260271,Sur,Moto,6.2,41,0,0
ORD-20260272,Sur,Moto,2.2,17,0,0
ORD-20260273,Sur,Moto,5.1,28,0,0
ORD-20260274,Sur,Moto,5.8,29,0,0
ORD-20260275,Norte,Moto,7.8,35,0,0
ORD-20260276,Norte,Moto,4.3,30,0,0
ORD-20260277,Norte,Moto,5.5,33,0,1
ORD-20260278,Norte,Moto,2.3,17,0,0
ORD-20260279,Norte,Moto,1.4,11,0,0
ORD-20260280,Norte,Moto,6.3,28,0,0
ORD-20260281,Sur,Moto,5.0,34,0,1
ORD-20260282,Centro,Moto,3.4,32,1,1
ORD-20260283,Centro,Bici,1.4,18,0,0
ORD-20260284,Centro,Moto,2.9,18,0,0
ORD-20260285,Norte,Moto,7.8,42,0,1
ORD-20260286,Centro,Bici,2.8,41,1,1
ORD-20260287,Centro,Bici,2.7,30,0,0
ORD-20260288,Norte,Moto,5.0,34,0,1
ORD-20260289,Centro,Moto,1.2,11,0,0
ORD-20260290,Norte,Moto,7.0,44,0,1
ORD-20260291,Centro,Bici,2.0,24,0,0
ORD-20260292,Centro,Moto,2.9,19,0,0
ORD-20260293,Sur,Bici,2.7,25,0,0
ORD-20260294,Centro,Moto,1.6,16,0,0
ORD-20260295,Centro,Moto,3.6,21,0,0
ORD-20260296,Norte,Bici,4.5,45,0,1
ORD-20260297,Norte,Moto,7.2,41,0,0
ORD-20260298,Centro,Bici,2.4,25,1,0
ORD-20260299,Norte,Moto,2.2,19,0,0
ORD-20260300,Centro,Moto,3.2,12,0,0
ORD-20260301,Centro,Bici,2.0,15,0,0
ORD-20260302,Norte,Bici,6.0,68,1,0
ORD-20260303,Norte,Moto,5.0,32,0,1
ORD-20260304,Norte,Bici,2.7,24,0,0
ORD-20260305,Norte,Moto,5.2,32,0,0
ORD-20260306,Sur,Moto,8.3,29,0,0
ORD-20260307,Norte,Moto,5.7,37,0,1
ORD-20260308,Centro,Bici,2.5,26,0,0
ORD-20260309,Norte,Moto,6.6,38,0,1
ORD-20260310,Centro,Moto,2.7,19,0,0
ORD-20260311,Centro,Bici,2.7,29,0,0
ORD-20260312,Centro,Moto,1.6,13,0,0
ORD-20260313,Centro,Bici,2.7,19,0,0
ORD-20260314,Sur,Moto,6.6,51,0,1
ORD-20260315,Sur,Moto,3.7,28,0,0
ORD-20260316,Norte,Moto,7.1,33,0,0
ORD-20260317,Centro,Bici,2.4,23,0,0
ORD-20260318,Centro,Bici,1.8,19,0,0
ORD-20260319,Centro,Moto,3.3,25,0,0
ORD-20260320,Centro,Moto,2.3,11,0,0
ORD-20260321,Norte,Moto,6.1,33,0,1
ORD-20260322,Norte,Moto,4.6,21,0,0
ORD-20260323,Norte,Moto,4.9,28,0,0
ORD-20260324,Centro,Bici,2.9,35,1,1
ORD-20260325,Sur,Moto,5.4,43,1,0
ORD-20260326,Norte,Moto,2.0,14,0,0
ORD-20260327,Norte,Bici,3.3,28,0,0
ORD-20260328,Norte,Moto,6.4,40,0,1
ORD-20260329,Centro,Bici,2.4,26,0,0
ORD-20260330,Centro,Bici,2.1,24,0,0
ORD-20260331,Centro,Bici,1.4,16,0,0
ORD-20260332,Norte,Moto,3.4,29,1,0
ORD-20260333,Centro,Moto,0.9,19,1,0
ORD-20260334,Centro,Bici,2.4,26,0,0
ORD-20260335,Centro,Moto,2.0,10,0,0
ORD-20260336,Centro,Moto,1.7,14,0,0
ORD-20260337,Sur,Moto,4.9,31,0,1
ORD-20260338,Norte,Moto,5.5,33,0,1
ORD-20260339,Centro,Moto,4.2,25,0,0
ORD-20260340,Centro,Moto,1.3,10,0,0
ORD-20260341,Centro,Moto,3.4,30,1,0
ORD-20260342,Centro,Moto,3.3,27,0,0
ORD-20260343,Centro,Moto,1.9,15,0,0
ORD-20260344,Centro,Bici,2.7,25,0,0
ORD-20260345,Centro,Bici,2.1,22,0,0
ORD-20260346,Norte,Moto,5.3,44,1,0
ORD-20260347,Norte,Moto,7.3,46,0,0
ORD-20260348,Centro,Bici,3.0,28,0,0
ORD-20260349,Centro,Bici,2.9,30,0,0
ORD-20260350,Norte,Moto,4.4,34,0,0
ORD-20260351,Norte,Moto,2.8,33,1,1
ORD-20260352,Sur,Moto,4.7,39,0,1
ORD-20260353,Norte,Bici,6.8,54,0,0
ORD-20260354,Centro,Bici,1.3,19,0,0
ORD-20260355,Centro,Bici,1.7,16,0,0
ORD-20260356,Norte,Moto,5.2,33,0,1
ORD-20260357,Centro,Bici,1.7,21,0,0
ORD-20260358,Norte,Moto,3.8,22,0,0
ORD-20260359,Sur,Moto,4.4,37,1,0
ORD-20260360,Norte,Moto,3.0,23,0,0
ORD-20260361,Centro,Bici,1.7,17,0,0
ORD-20260362,Norte,Moto,6.1,57,1,1
ORD-20260363,Centro,Moto,1.5,10,0,0
ORD-20260364,Norte,Moto,2.6,23,0,0
ORD-20260365,Sur,Bici,4.1,43,0,1
ORD-20260366,Centro,Moto,3.1,20,0,0
ORD-20260367,Sur,Moto,4.7,27,0,0
ORD-20260368,Sur,Moto,4.3,24,0,0
ORD-20260369,Centro,Bici,2.5,24,0,0
ORD-20260370,Centro,Bici,1.1,14,0,0
ORD-20260371,Centro,Moto,2.9,23,0,0
ORD-20260372,Centro,Moto,2.8,25,0,0
ORD-20260373,Centro,Bici,2.2,23,0,0
ORD-20260374,Norte,Moto,6.5,33,0,1
ORD-20260375,Centro,Bici,1.6,16,0,0
ORD-20260376,Centro,Moto,3.4,21,0,0
ORD-20260377,Sur,Moto,5.2,26,0,0
ORD-20260378,Centro,Bici,2.2,19,0,0
ORD-20260379,Sur,Moto,5.0,53,1,1
ORD-20260380,Centro,Bici,2.4,25,0,0
ORD-20260381,Centro,Moto,3.5,20,0,0
ORD-20260382,Norte,Moto,3.4,25,0,0
ORD-20260383,Norte,Moto,3.9,20,0,0
ORD-20260384,Sur,Moto,6.6,32,0,1
ORD-20260385,Norte,Moto,4.1,31,1,1
ORD-20260386,Sur,Moto,6.4,59,1,0
ORD-20260387,Centro,Moto,3.9,24,0,0
ORD-20260388,Centro,Bici,2.2,14,0,0
ORD-20260389,Norte,Moto,6.0,41,0,1
ORD-20260390,Sur,Moto,3.3,21,0,0
ORD-20260391,Sur,Moto,6.1,26,0,0
ORD-20260392,Centro,Bici,2.7,35,1,1
ORD-20260393,Centro,Bici,2.9,41,1,0
ORD-20260394,Norte,Moto,4.0,37,1,1
ORD-20260395,Centro,Bici,1.2,19,0,0
ORD-20260396,Sur,Moto,5.8,30,0,0
ORD-20260397,Sur,Moto,1.9,15,0,0
ORD-20260398,Centro,Bici,2.2,20,0,0
ORD-20260399,Norte,Moto,6.4,28,0,0
ORD-20260400,Norte,Moto,5.3,36,0,0
ORD-20260401,Centro,Moto,4.1,27,0,0
ORD-20260402,Sur,Moto,6.5,39,0,1
ORD-20260403,Norte,Moto,4.0,27,0,0
ORD-20260404,Sur,Moto,5.0,27,0,0
ORD-20260405,Centro,Bici,2.5,21,0,0
ORD-20260406,Sur,Moto,2.6,18,0,0
ORD-20260407,Centro,Bici,1.7,22,0,0
ORD-20260408,Centro,Bici,2.1,27,0,1
ORD-20260409,Sur,Moto,1.9,16,0,0
ORD-20260410,Centro,Bici,2.5,25,0,0
ORD-20260411,Centro,Bici,2.3,24,0,0
ORD-20260412,Sur,Moto,2.5,18,0,0
ORD-20260413,Sur,Moto,5.6,36,1,1
ORD-20260414,Norte,Moto,6.1,46,1,0
ORD-20260415,Norte,Moto,5.3,25,0,0
ORD-20260416,Centro,Bici,2.2,22,0,0
ORD-20260417,Centro,Moto,3.0,25,0,0
ORD-20260418,Centro,Moto,3.0,22,0,0
ORD-20260419,Norte,Moto,5.5,28,0,0
ORD-20260420,Norte,Moto,3.8,34,1,1
ORD-20260421,Norte,Moto,5.4,28,0,0
ORD-20260422,Norte,Moto,6.8,49,1,1
ORD-20260423,Centro,Moto,2.0,17,0,0
ORD-20260424,Centro,Moto,4.2,29,0,0
ORD-20260425,Centro,Bici,2.1,30,0,0
ORD-20260426,Norte,Bici,5.0,53,0,1
ORD-20260427,Centro,Bici,2.0,22,0,0
ORD-20260428,Sur,Moto,5.3,35,0,1
ORD-20260429,Centro,Bici,1.1,13,0,0
ORD-20260430,Centro,Moto,2.1,13,0,0
ORD-20260431,Centro,Bici,1.6,21,0,0
ORD-20260432,Norte,Moto,5.2,36,0,0
ORD-20260433,Norte,Moto,6.5,36,0,1
ORD-20260434,Centro,Moto,3.0,21,0,0
ORD-20260435,Centro,Moto,0.6,10,0,0
ORD-20260436,Norte,Moto,8.1,63,1,1
ORD-20260437,Centro,Moto,2.7,14,0,0
ORD-20260438,Sur,Moto,3.8,25,0,0
ORD-20260439,Norte,Moto,5.2,30,0,0
ORD-20260440,Centro,Bici,2.6,42,1,1
ORD-20260441,Centro,Bici,2.0,24,0,0
ORD-20260442,Sur,Moto,5.3,38,0,0
ORD-20260443,Centro,Bici,2.0,17,0,0
ORD-20260444,Centro,Bici,2.2,20,0,0
ORD-20260445,Sur,Moto,4.0,29,0,0
ORD-20260446,Sur,Bici,2.9,26,0,0
ORD-20260447,Sur,Bici,5.2,36,0,0
ORD-20260448,Norte,Bici,5.9,56,0,0
ORD-20260449,Centro,Bici,2.9,35,1,1
ORD-20260450,Centro,Moto,3.2,39,1,0
ORD-20260451,Norte,Moto,5.5,34,0,0
ORD-20260452,Norte,Moto,4.2,27,0,0
ORD-20260453,Centro,Moto,3.2,20,0,0
ORD-20260454,Sur,Moto,3.0,25,0,0
ORD-20260455,Centro,Bici,1.8,20,0,0
ORD-20260456,Centro,Bici,1.7,27,1,0
ORD-20260457,Centro,Moto,3.4,19,0,0
ORD-20260458,Centro,Moto,3.3,21,0,0
ORD-20260459,Centro,Bici,2.9,24,0,0
ORD-20260460,Centro,Moto,3.4,25,0,0
ORD-20260461,Centro,Bici,1.8,14,0,0
ORD-20260462,Norte,Moto,5.5,32,0,0
ORD-20260463,Norte,Moto,4.8,32,0,1
ORD-20260464,Norte,Moto,6.3,38,0,1
ORD-20260465,Sur,Moto,4.8,26,0,0
ORD-20260466,Centro,Bici,2.2,25,0,0
ORD-20260467,Centro,Bici,2.9,33,1,1
ORD-20260468,Sur,Moto,6.3,46,1,1
ORD-20260469,Centro,Moto,2.0,16,0,0
ORD-20260470,Sur,Bici,4.9,47,0,1
ORD-20260471,Centro,Moto,1.7,21,1,0
ORD-20260472,Sur,Moto,1.3,14,0,0
ORD-20260473,Centro,Bici,2.7,27,0,0
ORD-20260474,Sur,Moto,5.9,38,0,1
ORD-20260475,Norte,Moto,5.4,39,0,0
ORD-20260476,Sur,Moto,2.1,18,0,0
ORD-20260477,Centro,Bici,2.2,26,0,0
ORD-20260478,Norte,Moto,1.7,24,1,0
ORD-20260479,Sur,Moto,7.1,45,0,1
ORD-20260480,Norte,Moto,3.4,23,0,0
ORD-20260481,Norte,Moto,6.9,32,0,1
ORD-20260482,Norte,Moto,6.4,39,0,0
ORD-20260483,Centro,Moto,1.8,25,1,0
ORD-20260484,Norte,Moto,3.3,34,1,1
ORD-20260485,Norte,Moto,5.5,32,0,1
ORD-20260486,Sur,Bici,3.7,40,1,0
ORD-20260487,Centro,Bici,2.6,28,0,0
ORD-20260488,Centro,Bici,2.1,18,0,0
ORD-20260489,Sur,Moto,2.3,20,0,0
ORD-20260490,Sur,Moto,1.7,13,0,0
ORD-20260491,Centro,Bici,2.7,38,1,1
ORD-20260492,Norte,Moto,4.2,28,0,0
ORD-20260493,Centro,Bici,2.1,24,0,0
ORD-20260494,Centro,Moto,3.1,16,0,0
ORD-20260495,Centro,Moto,3.4,25,0,0
ORD-20260496,Centro,Bici,2.3,24,0,0
ORD-20260497,Norte,Moto,4.5,25,0,0
ORD-20260498,Centro,Bici,2.9,25,0,0
ORD-20260499,Sur,Moto,3.0,19,0,0
ORD-20260500,Sur,Moto,5.3,25,0,0
ORD-20260501,Norte,Moto,5.8,43,0,0
ORD-20260502,Norte,Moto,6.0,43,0,0
ORD-20260503,Centro,Moto,1.0,11,0,0
ORD-20260504,Sur,Moto,3.9,24,0,0
ORD-20260505,Norte,Moto,3.7,23,0,0
ORD-20260506,Centro,Moto,2.6,20,0,0
ORD-20260507,Sur,Moto,5.7,42,0,1
ORD-20260508,Sur,Bici,7.2,57,0,1
ORD-20260509,Sur,Moto,4.3,22,0,0
ORD-20260510,Norte,Moto,4.3,33,0,0
ORD-20260511,Norte,Moto,6.7,28,0,0
ORD-20260512,Centro,Moto,2.7,16,0,0
ORD-20260513,Sur,Moto,6.9,38,0,1
ORD-20260514,Sur,Moto,5.4,25,0,0
ORD-20260515,Centro,Bici,1.6,21,0,0
ORD-20260516,Centro,Moto,1.4,14,0,0
ORD-20260517,Centro,Bici,1.3,14,0,0
ORD-20260518,Sur,Moto,6.0,54,1,1
ORD-20260519,Sur,Bici,6.8,84,1,1
ORD-20260520,Centro,Moto,4.0,34,1,1
ORD-20260521,Norte,Moto,6.3,34,0,0
ORD-20260522,Centro,Moto,3.4,29,0,0
ORD-20260523,Sur,Moto,4.1,28,0,0
ORD-20260524,Sur,Bici,3.3,33,0,1
ORD-20260525,Sur,Moto,6.3,44,0,1
ORD-20260526,Centro,Moto,2.8,20,0,0
ORD-20260527,Centro,Bici,2.6,24,0,0
ORD-20260528,Centro,Moto,2.8,19,0,0
ORD-20260529,Centro,Bici,2.8,43,1,1
ORD-20260530,Sur,Moto,6.9,28,0,0
ORD-20260531,Sur,Moto,6.9,38,0,1
ORD-20260532,Sur,Moto,5.8,53,1,0
ORD-20260533,Sur,Moto,6.3,34,0,1
ORD-20260534,Norte,Moto,5.8,54,1,0
ORD-20260535,Norte,Moto,4.3,32,0,1
